evo-volume,eco,name,pgn,uci,epd,epdhash
,A40,Colle System: Pterodactyl Variation,1. d4 g6 2. Nf3 Bg7 3. e3 c5 4. Bd3 Qa5+,d2d4 g7g6 g1f3 f8g7 e2e3 c7c5 f1d3 d8a5,rnbqkbnr/pppppp1p/6p1/8/3P4/8/PPP1PPPP/RNBQKBNR w KQkq -,7e91ad1946ff9e6baebaca38b7605ea6
,A12,"Réti Opening: Anglo-Slav Variation, New York System",1. Nf3 Nf6 2. c4 c6 3. b3 d5 4. Bb2 Bf5,g1f3 g8f6 c2c4 c7c6 b2b3 d7d5 c1b2 c8f5,rnbqkb1r/pppppppp/5n2/8/8/5N2/PPPPPPPP/RNBQKB1R w KQkq -,cd004f1fa1af08e3c073d1fabcd6e057
,B09,Pirc Defense: Austrian Attack,1. e4 d6 2. d4 Nf6 3. Nc3 g6 4. f4 Bg7 5. Nf3 O-O,e2e4 d7d6 d2d4 g8f6 b1c3 g7g6 f2f4 f8g7 g1f3 e8g8,rnbqkbnr/ppp1pppp/3p4/8/4P3/8/PPPP1PPP/RNBQKBNR w KQkq -,41579a0a4a197a86977bbe78abfc8700
,A40,Borg Defense: Borg Gambit,1. d4 g5,d2d4 g7g5,rnbqkbnr/pppppp1p/8/6p1/3P4/8/PPP1PPPP/RNBQKBNR w KQkq -,50cf6cd8101440a053f760caadebd046
,A10,English Opening: Wade Gambit,1. c4 f5 2. g4,c2c4 f7f5 g2g4,rnbqkbnr/ppppp1pp/8/5p2/2P5/8/PP1PPPPP/RNBQKBNR w KQkq -,67ac0ce3a1712d901506de328793eba7
,A40,English Defense,1. d4 b6,d2d4 b7b6,rnbqkbnr/p1pppppp/1p6/8/3P4/8/PPP1PPPP/RNBQKBNR w KQkq -,4673650ec952c8ad7a995a35ffc2dae1
,A10,English Opening: Zilbermints Gambit,1. c4 g5 2. d4 e5,c2c4 g7g5 d2d4 e7e5,rnbqkbnr/pppppp1p/8/6p1/2P5/8/PP1PPPPP/RNBQKBNR w KQkq -,0a6d84a2f024b5bf3a088293de0831f3
,A11,English Opening: Caro-Kann Defensive System,1. c4 c6,c2c4 c7c6,rnbqkbnr/pp1ppppp/2p5/8/2P5/8/PP1PPPPP/RNBQKBNR w KQkq -,6948d00af495c3bde5c6ff65498a0b79
,B07,Modern Defense: Geller's System,1. e4 g6 2. d4 Bg7 3. Nf3 d6 4. c3,e2e4 g7g6 d2d4 f8g7 g1f3 d7d6 c2c3,rnbqkbnr/pppppp1p/6p1/8/4P3/8/PPPP1PPP/RNBQKBNR w KQkq -,e10c6407fd9f6a4ef76c5044cef4acb9
,C20,Barnes Opening: Walkerling,1. f3 e5 2. e4 Nf6 3. Bc4,f2f3 e7e5 e2e4 g8f6 f1c4,rnbqkbnr/pppp1ppp/8/4p3/8/5P2/PPPPP1PP/RNBQKBNR w KQkq -,97799e94c16f4c1982246fc4f376581e
,A40,Australian Defense,1. d4 Na6,d2d4 b8a6,r1bqkbnr/pppppppp/n7/8/3P4/8/PPP1PPPP/RNBQKBNR w KQkq -,03a6748b015c0bf9795e4f5c154bb0a7
,A29,"English Opening: King's English Variation, Four Knights Variation, Fianchetto Line",1. c4 e5 2. Nc3 Nf6 3. Nf3 Nc6 4. g3,c2c4 e7e5 b1c3 g8f6 g1f3 b8c6 g2g3,rnbqkbnr/pppp1ppp/8/4p3/2P5/8/PP1PPPPP/RNBQKBNR w KQkq -,9b68baae94e23b4d1e814b39985a118f
,A00,Polish Opening: Wolferts Gambit,1. b4 e5 2. Bb2 c5,b2b4 e7e5 c1b2 c7c5,rnbqkbnr/pppp1ppp/8/4p3/1P6/8/P1PPPPPP/RNBQKBNR w KQkq -,7f6bb5e8a164c0c5cee30474c0c78cd4
,A00,Sodium Attack: Celadon Variation,1. Na3 e5 2. d3 Bxa3 3. bxa3 d5 4. e3 c5 5. Rb1,b1a3 e7e5 d2d3 f8a3 b2a3 d7d5 e2e3 c7c5 a1b1,rnbqkbnr/pppp1ppp/8/4p3/8/N7/PPPPPPPP/R1BQKBNR w KQkq -,819bcaae10b983764096ea0c83f5d3ee
,A00,Polish Opening: Symmetrical Variation,1. b4 b5,b2b4 b7b5,rnbqkbnr/p1pppppp/8/1p6/1P6/8/P1PPPPPP/RNBQKBNR w KQkq -,e2d51a9a346ac1a82249b36f4bd08aab
,A00,Polish Opening: Schiffler-Sokolsky Variation,1. b4 e6 2. Bb2 Nf6 3. b5 d5 4. e3,b2b4 e7e6 c1b2 g8f6 b4b5 d7d5 e2e3,rnbqkbnr/pppp1ppp/4p3/8/1P6/8/P1PPPPPP/RNBQKBNR w KQkq -,5139e43ed457fc676fd22dfdaa63f4b0
,A00,Polish Opening: Schuehler Gambit,1. b4 c6 2. Bb2 a5 3. b5 cxb5 4. e4,b2b4 c7c6 c1b2 a7a5 b4b5 c6b5 e2e4,rnbqkbnr/pp1ppppp/2p5/8/1P6/8/P1PPPPPP/RNBQKBNR w KQkq -,7fb59c5faa38098bf17caff1fc98b251
,A00,Sodium Attack: Chenoboskion Variation,1. Na3 g6 2. g4,b1a3 g7g6 g2g4,rnbqkbnr/pppppp1p/6p1/8/8/N7/PPPPPPPP/R1BQKBNR w KQkq -,d48d815d352f9339185ae775067f36c3
,A00,Van Geet Opening: Dougherty Gambit,1. Nc3 d5 2. e4 dxe4 3. f3,b1c3 d7d5 e2e4 d5e4 f2f3,rnbqkbnr/ppp1pppp/8/3p4/8/2N5/PPPPPPPP/R1BQKBNR w KQkq -,a4c84f1f08656577e2a396565e2639d3
,A00,Van Geet Opening: Düsseldorf Gambit,1. Nc3 c5 2. b4,b1c3 c7c5 b2b4,rnbqkbnr/pp1ppppp/8/2p5/8/2N5/PPPPPPPP/R1BQKBNR w KQkq -,42207214f6c46f40654f1b547e739faf
,A00,Van Geet Opening: Battambang Variation,1. a3 e5 2. Nc3,a2a3 e7e5 b1c3,rnbqkbnr/pppp1ppp/8/4p3/8/P7/1PPPPPPP/RNBQKBNR w KQkq -,474f4209de591e47cd6f37bc4cf60f06
,A00,Van Geet Opening: Billockus-Johansen Gambit,1. Nc3 e5 2. Nf3 Bc5,b1c3 e7e5 g1f3 f8c5,rnbqkbnr/pppp1ppp/8/4p3/8/2N5/PPPPPPPP/R1BQKBNR w KQkq -,36e9317ec19b402d62ff7a9552ac6f49
,A00,Valencia Opening,1. d3 e5 2. Nd2,d2d3 e7e5 b1d2,rnbqkbnr/pppp1ppp/8/4p3/8/3P4/PPP1PPPP/RNBQKBNR w KQkq -,601a6097ee325cd5d9210efc1611dd0a
,A00,Polish Opening: Dutch Defense,1. b4 f5,b2b4 f7f5,rnbqkbnr/ppppp1pp/8/5p2/1P6/8/P1PPPPPP/RNBQKBNR w KQkq -,d7304afb27090eb4a0b7811c4116584a
,A00,Polish Opening: German Defense,1. b4 d5 2. Bb2 Qd6,b2b4 d7d5 c1b2 d8d6,rnbqkbnr/ppp1pppp/8/3p4/1P6/8/P1PPPPPP/RNBQKBNR w KQkq -,aec769bcc5d1596e675aa1c2533df9dc
,A00,Polish Opening: Grigorian Variation,1. b4 Nc6,b2b4 b8c6,r1bqkbnr/pppppppp/2n5/8/1P6/8/P1PPPPPP/RNBQKBNR w KQkq -,3d76b1db4235e4ac4b993e05afff3f23
,A00,Polish Opening: Karniewski Variation,1. b4 Nh6,b2b4 g8h6,rnbqkb1r/pppppppp/7n/8/1P6/8/P1PPPPPP/RNBQKBNR w KQkq -,2bac6faae1b45c4562190d5fc92d73bf
,A00,Polish Opening: King's Indian Variation,1. b4 Nf6 2. Bb2 g6,b2b4 g8f6 c1b2 g7g6,rnbqkb1r/pppppppp/5n2/8/1P6/8/P1PPPPPP/RNBQKBNR w KQkq -,360329507f27e9495ff1536fff2d7279
,A00,Polish Opening: Birmingham Gambit,1. b4 c5,b2b4 c7c5,rnbqkbnr/pp1ppppp/8/2p5/1P6/8/P1PPPPPP/RNBQKBNR w KQkq -,5ec90204c3867f799446231f58e638dd
,A00,Van Geet Opening: Tübingen Gambit,1. Nc3 Nf6 2. g4,b1c3 g8f6 g2g4,rnbqkb1r/pppppppp/5n2/8/8/2N5/PPPPPPPP/R1BQKBNR w KQkq -,2b3706b9794185c6c2a49860579d81eb
,A00,Van't Kruijs Opening: Bouncing Bishop Variation,1. e3 e5 2. Bc4 b5 3. Bb3,e2e3 e7e5 f1c4 b7b5 c4b3,rnbqkbnr/pppp1ppp/8/4p3/8/4P3/PPPP1PPP/RNBQKBNR w KQkq -,629723cce6ec45f1972a4468de150183
,A00,Ware Opening: Cologne Gambit,1. a4 b6 2. d4 d5 3. Nc3 Nd7,a2a4 b7b6 d2d4 d7d5 b1c3 b8d7,rnbqkbnr/p1pppppp/1p6/8/P7/8/1PPPPPPP/RNBQKBNR w KQkq -,2d11db100ee9da046dd8394bb8f94124
,A00,Ware Opening: Crab Variation,1. a4 e5 2. h4,a2a4 e7e5 h2h4,rnbqkbnr/pppp1ppp/8/4p3/P7/8/1PPPPPPP/RNBQKBNR w KQkq -,1e40ca111beba901ca45d2c4ec8af71e
,A00,Mieses Opening: Venezolana Variation,1. d3 c5 2. Nc3 Nc6 3. g3,d2d3 c7c5 b1c3 b8c6 g2g3,rnbqkbnr/pp1ppppp/8/2p5/8/3P4/PPP1PPPP/RNBQKBNR w KQkq -,61a994f120aef2f51c5b9fec9facf26c
,A00,Van Geet Opening: Kluever Gambit,1. Nc3 f5 2. e4 fxe4 3. d3,b1c3 f7f5 e2e4 f5e4 d2d3,rnbqkbnr/ppppp1pp/8/5p2/8/2N5/PPPPPPPP/R1BQKBNR w KQkq -,f4b4250d4498b5e01578120d956b2550
,A00,Van Geet Opening: Laroche Gambit,1. Nc3 b5,b1c3 b7b5,rnbqkbnr/p1pppppp/8/1p6/8/2N5/PPPPPPPP/R1BQKBNR w KQkq -,8ac984eff60519ee8d73830412674622
,A00,Van Geet Opening: Hergert Gambit,1. Nc3 d6 2. f4 e5 3. fxe5 Nc6,b1c3 d7d6 f2f4 e7e5 f4e5 b8c6,rnbqkbnr/ppp1pppp/3p4/8/8/2N5/PPPPPPPP/R1BQKBNR w KQkq -,f03136962fe70885799f55fd04d2a714
,A00,Van Geet Opening: Myers Attack,1. Nc3 g6 2. h4,b1c3 g7g6 h2h4,rnbqkbnr/pppppp1p/6p1/8/8/2N5/PPPPPPPP/R1BQKBNR w KQkq -,865b6bcf9f2bcf91c9430c55f3f48ee8
,A00,"Grob Opening: Grob Gambit, Basman Gambit",1. g4 d5 2. Bg2 h5 3. gxh5,g2g4 d7d5 f1g2 h7h5 g4h5,rnbqkbnr/ppp1pppp/8/3p4/6P1/8/PPPPPP1P/RNBQKBNR w KQkq -,7d8b378ecacae11f2b21cbe4d1ccaea8
